An Unearthly Child,4, 
The Daleks,7, 
The Edge Of Destruction,2, 
The Keys Of Marinus,6, 
The Aztecs,4, 
The Sensorites,6, 
The Reign of Terror,6, 
Planet Of Giants,3, 
The Dalek Invasion Of Earth,6, 
The Rescue,2, 
The Romans,4, 
The Web Planet,6, 
The Space Museum,4, 
The Chase,6, 
The Time Meddler,4, 
Mission to the Unknown,1, 
The Ark,4, 
The Gunfighters,4, 
The War Machines,4, 
The Tenth Planet,4, 
The Power Of The Daleks,6, 
The Moonbase,4, 
The Macra Terror,4, 
The Faceless Ones,6, 
The Tomb Of The Cybermen,4, 
The Ice Warriors,6, 
The Enemy Of The World,6, 
The Web Of Fear,6, 
Fury from the Deep,6, 
The Dominators,5, 
The Mind Robber,5, 
The Invasion,8, 
The Krotons,4, 
The Seeds Of Death,6, 
The War Games,10, 
Spearhead From Space,4, 
Doctor Who And The Silurians,7, 
The Ambassadors Of Death,7, 
Inferno,7, 
Terror Of The Autons,4, 
The Mind Of Evil,6, 
The Claws Of Axos,4, 
Colony In Space,6, 
The Daemons,5, 
Day Of The Daleks,4, 
The Curse Of Peladon,4, 
The Sea Devils,6, 
The Mutants,6, 
The Time Monster,6, 
The Three Doctors,4, 
Carnival Of Monsters,4, 
Frontier In Space,6, 
Planet Of The Daleks,6, 
The Green Death,6, 
The Time Warrior,4, 
Invasion Of The Dinosaurs,6, 
Death To The Daleks,4, 
The Monster Of Peladon,6, 
Planet Of The Spiders,6, 
Robot,4, 
The Ark In Space,4, 
The Sontaran Experiment,2, 
Genesis Of The Daleks,6, 
Revenge Of The Cybermen,4, 
Terror Of The Zygons,4, 
Planet Of Evil,4, 
Pyramids Of Mars,4, 
The Android Invasion,4, 
The Brain Of Morbius,4, 
The Seeds Of Doom,6, 
The Masque Of Mandragora,4, 
The Hand Of Fear,4, 
The Deadly Assassin,4, 
The Face Of Evil,4, 
The Robots Of Death,4, 
The Talons Of Weng-Chiang,6, 
Horror Of Fang Rock,4, 
The Invisible Enemy,4, 
Image Of The Fendahl,4, 
The Sun Makers,4, 
Underworld,4, 
The Invasion Of Time,6, 
The Ribos Operation,4, 
The Pirate Planet,4, 
The Stones Of Blood,4, 
The Androids Of Tara,4, 
The Power Of Kroll,4, 
The Armageddon Factor,6, 
Destiny Of The Daleks,4, 
City Of Death,4, 
The Creature From The Pit,4, 
Nightmare Of Eden,4, 
The Horns Of Nimon,4, 
The Leisure Hive,4, 
Meglos,4, 
Full Circle,4, 
State Of Decay,4, 
Warriors' Gate,4, 
The Keeper Of Traken,4, 
Logopolis,4, 
Castrovalva,4, 
Four To Doomsday,4, 
Kinda,4, 
The Visitation,4, 
Black Orchid,2, 
Earthshock,4, 
Time-Flight,4, 
Arc Of Infinity,4, 
Snakedance,4, 
Mawdryn Undead,4, 
Terminus,4, 
Enlightenment,4, 
The King's Demons,2, 
The Five Doctors,1, 
Warriors Of The Deep,4, 
The Awakening,2, 
Frontios,4, 
Resurrection Of The Daleks,2, 
Planet Of Fire,4, 
The Caves Of Androzani,4, 
The Twin Dilemma,4, 
Attack Of The Cybermen,2, 
Vengeance On Varos,2, 
The Mark Of The Rani,2, 
The Two Doctors,3, 
Timelash,2, 
Revelation Of The Daleks,2, 
The Trial Of A Time Lord,14, 
Time And The Rani,4, 
Paradise Towers,4, 
Delta And The Bannermen,3, 
Dragonfire,3, 
Remembrance Of The Daleks,4, 
The Happiness Patrol,3, 
Silver Nemesis,3, 
The Greatest Show In The Galaxy,4, 
Battlefield,4, 
Ghost Light,3, 
The Curse Of Fenric,4, 
Survival,3, 
Doctor Who: The Movie,1, 
An Adventure In Space And Time,1, 
